#{"t_start": 1768050674.0728588, "env_id": "None"}
r,l,t
437.3415,55,79.716067
437.4657,55,79.799721
437.4655,55,79.879044
437.3874,55,79.96051
437.4656,55,80.035728
437.3186,55,80.116131
437.3969,55,80.19732
437.3415,55,80.275244
437.4658,55,80.354583
437.4659,55,80.435525
437.4659,55,80.512072
437.3092,55,80.590526
437.3875,55,80.67103
437.4656,55,80.746511
437.3874,55,80.827932
437.3874,55,80.908895
-782.3086,73,90.213091
-541.3814,68,90.347662
-544.1319,68,90.476201
-122.1387,63,90.596929
-887.0159,74,90.741979
-457.8632,67,90.882159
-564.8091,68,91.012832
-521.4363,68,91.150255
-171.9952,64,91.276246
-420.6949,67,91.413135
-1169.7622,78,91.557978
-586.8598,69,91.702855
-905.2723,74,91.839741
-384.9001,67,91.971269
-462.3685,67,92.105688
-546.446,68,92.22439
-846.942,73,92.325392
-655.7712,70,92.422465
-686.0338,71,92.520346
-1112.6228,77,92.644428
-695.2611,71,92.742349
-414.4521,67,92.835813
-1150.7566,78,92.940658
-622.428,70,93.033081
-778.939,73,93.133475
-403.4707,67,93.227149
-519.1974,68,93.322145
-883.6919,74,93.425344
-36.6385,61,93.508603
-1168.2722,78,93.616992
-583.6925,69,93.716911
-896.2735,74,93.821666
-799.5123,73,93.91868
-322.9708,66,94.007227
-837.5002,73,94.103982
-475.6251,68,94.196686
-505.5775,68,94.283802
-756.3871,72,94.382608
-418.6441,67,94.472936
-385.0202,67,94.564508
-1471.9667,82,94.681506
-776.7734,72,94.782615
-735.908,71,94.903021
-498.2056,68,94.99955
-1082.2553,76,95.101652
-970.3661,75,95.206581
-675.168,70,95.30296
-575.7171,69,95.398797
-751.3413,72,95.498542
-660.136,70,95.59788
-1405.5507,81,95.711048
-607.0292,69,95.808576
-489.3089,68,95.901039
-794.4022,73,96.007933
-792.4628,73,96.118667
-431.7756,67,96.217857
-439.7673,67,96.320966
-860.1999,73,96.428014
-696.1785,71,96.528673
-69.6882,63,96.621853
-625.0557,69,96.716955
-651.8949,70,96.812811
-609.9629,69,96.911843
-609.641,69,97.015758
-574.9203,69,97.114335
-760.2146,72,97.218759
-152.8015,63,97.316756
-353.0964,66,97.410801
-1110.9346,76,97.522479
-636.5909,70,97.644382
-1135.0114,77,97.75205
-1254.8789,78,97.861026
-860.5262,73,97.97168
-659.383,70,98.077718
-691.411,71,98.17572
-388.079,67,98.281933
-559.1887,68,98.381741
-890.7473,73,98.490314
-927.1094,74,98.592737
-270.5566,65,98.695164
-823.3079,73,98.800334
-598.9824,69,98.898761
-800.8007,73,98.99995
-812.3364,73,99.103785
-234.103,65,99.198571
-754.1961,72,99.297587
-183.385,64,99.390688
-1061.7866,76,99.498994
-642.1463,70,99.602774
-706.6769,71,99.71501
-909.9676,74,99.847475
-595.6411,69,99.962055
-505.8859,68,100.076344
-660.7295,70,100.197823
104.8877,60,100.302822
-728.0142,72,100.42865
-289.7662,65,100.533808
-644.7236,70,100.65764
-383.7094,67,100.764041
-364.7724,66,100.877842
-729.5936,72,101.001946
-485.9037,67,101.10683
-455.7021,67,101.23145
-456.4264,67,101.348728
-478.174,68,101.467057
-492.6967,68,101.594359
-696.7683,71,101.720746
-1051.4338,76,101.844427
-512.2897,68,101.955932
-493.9013,68,102.075694
-594.3745,69,102.201936
-292.0769,65,102.313083
-584.0245,68,102.428883
-443.48,67,102.537189
-337.7287,66,102.651474
-321.4908,66,102.749754
-465.7615,67,102.869001
-868.8281,73,102.991512
-774.6738,73,103.126372
-604.2022,69,103.245564
-697.1717,71,103.359889
-587.1147,69,103.463998
-356.2916,66,103.573344
-790.0806,72,103.694154
-624.7171,70,103.807495
-339.4409,66,103.921548
-694.7958,71,104.036623
-748.1647,72,104.166779
-558.9767,68,104.289524
-690.5459,71,104.420836
-439.5112,67,104.53665
-824.6145,73,104.676015
-578.4813,68,104.792185
